discipline,contestes,number_of_olympics,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total
Basque pelota,1900,1,1,0,0,1
Breaking,2024,1,2,2,2,6
Croquet,1900,1,3,2,2,7
Jeu de paume,1908,1,1,1,1,3
Karate,2020,1,8,8,16,32
Polo,1900; 1908; 1920;1924; 1936,5,5,6,5,16
Rackets,1908,1,2,2,3,7
Roque,1904,1,1,1,1,3
Tug of war,1900–1920,5,5,5,3,13
Water motorsports,1908,1,3,0,0,3
